Id,Genero,EstadoCivil,Escolaridad,NivelIngresos
1,1,2,3,3
2,1,1,2,3
3,1,2,5,2
4,1,2,2,3
5,1,2,1,3
6,2,6,1,3
7,2,2,1,3
8,1,2,1,3
9,1,3,2,3
10,1,3,2,3
11,1,3,1,3
12,2,3,2,3
13,1,1,1,3
14,1,3,1,4
15,1,1,1,3
16,1,3,1,3
17,1,2,2,2
18,1,2,3,2
19,1,2,2,2
20,1,2,3,2
21,0,0,0,0
22,1,3,2,2
23,1,2,2,2
24,1,3,2,2
25,1,1,3,2
26,1,2,2,2
27,1,5,5,2
28,1,2,2,2
29,1,2,2,2
30,1,3,1,2
31,3,0,0,0
32,3,0,0,0
33,3,0,0,0
34,3,0,0,0
35,3,0,0,0
36,3,0,0,0
37,1,2,2,2
38,2,1,2,2
39,3,0,0,0
40,3,0,0,0
41,3,0,0,0
42,3,0,0,0
43,3,0,0,0
44,3,0,0,0
45,3,0,0,0
46,3,0,0,0
47,3,0,0,0
48,3,0,0,0
49,2,2,2,2
50,3,0,0,0
51,3,0,0,0
52,3,0,0,0
53,3,0,0,0
54,3,0,0,0
55,3,0,0,0
56,3,0,0,0
57,3,0,0,0
58,3,0,0,0
59,1,2,2,2
60,1,2,3,2
61,1,2,2,2
62,1,2,2,2
63,1,5,2,2
64,1,2,3,2
65,1,2,2,2
66,1,1,2,2
67,1,3,4,6
68,0,0,0,0
69,1,2,2,2
70,1,2,2,2
71,1,1,3,2
72,1,2,2,2
73,1,2,2,2
74,1,2,2,2
75,1,5,2,2
76,1,2,2,2
77,1,2,2,2
78,1,2,2,2
79,1,2,2,2
80,1,2,2,2
81,1,2,2,2
82,0,0,0,0
83,1,2,2,2
84,1,2,2,2
85,0,0,0,0
86,0,0,0,0
87,1,3,2,2
88,0,0,0,0
89,1,2,2,2
90,1,3,1,2
91,1,3,2,2
92,1,2,2,2
93,1,2,6,7
94,1,2,3,2
95,0,0,0,0
96,1,4,2,2
97,1,3,1,2
98,1,2,1,3
99,1,3,2,3
100,1,3,1,3
101,1,1,1,2
102,1,2,2,3
103,1,2,1,3
104,2,3,2,2
105,1,3,1,3
106,1,3,2,2
107,1,3,2,3
108,1,3,1,3
109,1,3,3,3
110,1,2,3,3
111,0,0,0,0
112,0,0,0,0
113,1,1,2,4
114,1,2,2,4
115,2,2,2,4
116,1,4,3,4
117,1,2,2,4
118,1,2,2,4
119,1,2,2,4
120,1,1,2,4
121,1,2,2,4
122,1,2,2,4
123,2,2,2,4
124,1,2,3,4
125,1,2,2,4
126,1,2,2,4
127,1,2,5,3
128,1,3,0,3
129,1,2,1,3
130,0,0,0,0
131,0,0,0,0
132,0,0,0,0
133,0,0,0,0
134,2,1,5,3
135,1,3,1,3
136,2,1,1,3
137,2,3,2,3
138,1,3,1,3
139,2,2,1,3
140,1,3,1,3
141,1,3,1,3
142,2,1,2,4
143,1,2,3,4
144,1,2,5,4
145,1,3,2,4
146,1,3,2,4
147,1,2,1,3
148,2,2,5,4
149,2,2,2,3
150,1,3,5,4
151,1,2,1,3
152,2,1,2,3
153,2,2,2,3
154,2,3,2,3
155,1,3,2,5
156,1,3,2,5
157,2,3,3,5
158,1,3,2,5
159,1,3,2,5
160,1,3,2,5
161,1,3,2,5
162,2,3,3,3
163,1,3,2,5
164,1,3,2,5
165,1,3,2,5
166,1,3,2,5
167,1,3,2,5
168,1,3,2,5
169,1,3,2,5
170,1,2,2,4
171,1,2,2,3
172,1,1,2,3
173,2,2,2,3
174,2,1,2,2
175,1,2,2,2
176,1,2,2,2
177,2,2,2,2
178,1,2,2,2
179,1,2,2,2
180,1,2,2,2
181,2,2,2,2
182,1,2,2,2
183,1,2,2,2
184,2,2,2,2
185,1,2,2,3
186,1,2,2,3
187,1,2,2,3
188,1,2,2,3
189,2,2,4,3
190,1,2,2,3
191,2,2,2,3
192,1,2,2,3
193,1,2,2,3
194,1,2,2,2
195,2,2,2,3
196,2,2,2,3
197,2,1,2,3
198,0,0,0,0
199,0,0,0,0
200,0,0,0,0
